GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1085,620,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,775,2791,0,465,3760
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1394,1395,2790,0,465,3800
1394,1395,2790,0,465,3800
1394,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1705,2790,0,465,3800
1549,1705,2790,0,465,3800
1549,1704,2788,0,465,3800
1549,1704,2788,0,465,3800
1549,1704,2788,0,465,3800
1549,1704,2788,0,465,3800
1549,1705,2790,0,465,3800
1549,1705,2790,0,465,3800
1549,1705,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1550,2790,0,465,3800
1549,1395,2790,0,465,3800
1549,1395,2790,0,465,3800
1549,1395,2790,0,465,3800
1549,1395,2790,0,465,3800
1549,1395,2790,0,465,3800
1549,1395,2790,0,465,3800
1394,1395,2790,0,465,3800
1394,1395,2790,0,465,3800
1394,1395,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1394,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1395,1240,2790,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1395,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,1085,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
1240,930,2791,0,465,3800
