GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
310,620,2482,0,465,3571
310,620,2482,0,465,3611
465,620,2482,0,465,3611
465,620,2482,0,465,3611
465,776,2482,0,465,3611
465,776,2482,0,465,3611
465,776,2482,0,465,3611
465,775,2482,0,465,3611
465,775,2482,0,465,3611
620,775,2482,0,465,3611
620,775,2482,0,465,3651
620,775,2482,0,465,3651
620,775,2482,0,465,3651
620,775,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
620,620,2482,0,465,3651
775,620,2482,0,465,3651
775,620,2482,0,465,3651
775,620,2482,0,465,3651
775,620,2482,0,465,3651
775,620,2482,0,465,3651
775,620,2482,0,465,3651
775,620,2482,0,465,3651
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,620,2482,0,465,3691
775,775,2482,0,465,3691
775,775,2481,0,465,3691
775,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,775,2481,0,465,3691
930,930,2481,0,465,3691
930,930,2481,0,465,3691
930,930,2481,0,465,3691
930,930,2481,0,465,3691
930,930,2481,0,465,3691
930,930,2481,0,465,3691
930,930,2481,0,465,3691
1085,930,2481,0,465,3691
1085,930,2481,0,465,3691
1085,930,2481,0,465,3691
1085,930,2481,0,465,3691
1085,775,2481,0,465,3691
1085,775,2481,0,465,3691
1085,775,2481,0,465,3731
1085,775,2481,0,465,3731
1085,775,2481,0,465,3731
1085,930,2481,0,465,3731
1085,930,2636,0,465,3731
1085,1085,2636,0,465,3731
1085,1085,2636,0,465,3731
1085,1085,2636,0,465,3731
1085,1240,2636,0,465,3731
1085,1240,2636,0,465,3731
1085,1240,2636,0,465,3731
1240,1240,2635,0,465,3731
1240,1240,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1240,2635,0,465,3731
1240,1240,2635,0,465,3731
1240,1240,2635,0,465,3731
1240,1240,2635,0,465,3731
1240,1240,2635,0,465,3731
