GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1241,1085,2636,0,465,3691
1241,1085,2636,0,465,3691
1241,1085,2636,0,465,3691
1240,1085,2636,0,465,3691
1240,1085,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1240,2636,0,465,3691
1240,1085,2636,0,465,3697
1240,1085,2636,0,465,3691
1240,1085,2636,0,465,3697
1240,1085,2636,0,465,3697
1240,1085,2636,0,465,3697
1240,1085,2636,0,465,3697
1240,1085,2636,0,465,3691
1240,1085,2636,0,465,3697
1241,1085,2636,0,465,3697
1241,1085,2636,0,465,3697
1241,1085,2636,0,465,3697
1241,1085,2636,0,465,3691
1241,1085,2636,0,465,3691
1085,1085,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3691
1085,1085,2636,0,465,3691
1085,1085,2636,0,465,3691
1085,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1395,2636,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1550,2635,0,465,3731
1240,1550,2635,0,465,3731
1395,1550,2635,0,465,3731
1395,1550,2635,0,465,3731
1395,1550,2635,0,465,3731
1395,1550,2635,0,465,3731
1395,1550,2635,0,465,3731
1395,1550,2635,0,465,3731
1395,1550,2635,0,465,3731
1395,1550,2635,0,465,3731
1395,1550,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2635,0,465,3731
1240,1395,2636,0,465,3731
1240,1395,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1240,2636,0,465,3731
1240,1085,2636,0,465,3731
1240,1085,2636,0,465,3731
1240,1085,2636,0,465,3731
1240,1085,2636,0,465,3731
1240,1085,2636,0,465,3737
1240,1085,2636,0,465,3737
1240,1085,2636,0,465,3737
1240,1085,2636,0,465,3737
1240,1085,2636,0,465,3737
1240,1085,2636,0,465,3737
1240,1085,2636,0,465,3737
1240,1085,2636,0,465,3737
1085,1085,2636,0,465,3737
1085,1085,2636,0,465,3737
1085,1085,2636,0,465,3737
1085,1085,2636,0,465,3737
1085,1085,2636,0,465,3731
1085,1085,2636,0,465,3691
1085,1085,2636,0,465,3697
1085,1085,2636,0,465,3697
1085,930,2636,0,465,3691
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3691
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3691
1085,930,2636,0,465,3691
1085,930,2636,0,465,3691
1085,930,2636,0,465,3691
1085,930,2636,0,465,3691
1085,930,2636,0,465,3691
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3697
1085,930,2636,0,465,3691
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3691
1085,775,2636,0,465,3691
1085,775,2636,0,465,3691
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
930,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3691
1085,775,2636,0,465,3697
1085,775,2636,0,465,3691
1085,775,2636,0,465,3691
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3697
1085,775,2636,0,465,3691
930,775,2636,0,465,3691
930,775,2636,0,465,3691
930,775,2636,0,465,3697
930,775,2636,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3731
930,775,2637,0,465,3731
930,775,2637,0,465,3731
930,775,2637,0,465,3731
930,775,2637,0,465,3731
930,775,2637,0,465,3731
930,775,2637,0,465,3731
930,775,2637,0,465,3731
930,775,2637,0,465,3731
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
775,775,2637,0,465,3697
775,775,2637,0,465,3697
775,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3691
930,620,2637,0,465,3697
930,620,2637,0,465,3691
930,620,2637,0,465,3691
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
775,620,2637,0,465,3657
775,620,2637,0,465,3657
930,620,2637,0,465,3657
930,775,2637,0,465,3657
930,775,2637,0,465,3657
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3697
930,775,2637,0,465,3691
930,775,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3691
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3691
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3691
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
930,620,2637,0,465,3697
