GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,465,3753
1083,774,2632,0,464,3753
1083,774,2632,0,464,3753
1083,774,2632,0,464,3793
1083,774,2632,0,464,3793
1083,774,2632,0,464,3793
1083,774,2632,0,464,3793
1083,774,2632,0,464,3793
1083,774,2632,0,464,3793
1083,774,2631,0,464,3793
1238,774,2631,0,464,3793
1238,774,2631,0,464,3793
1238,774,2631,0,464,3793
1238,928,2631,0,464,3793
1238,928,2631,0,464,3793
