GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
930,620,2637,0,465,3778
1085,620,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2636,0,465,3778
1085,775,2636,0,465,3778
1085,775,2636,0,465,3778
1085,775,2636,0,465,3778
1085,775,2636,0,465,3778
1085,775,2637,0,465,3778
1085,775,2636,0,465,3778
1085,775,2636,0,465,3778
1085,775,2636,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
930,775,2637,0,465,3778
1085,775,2637,0,465,3778
1085,775,2636,0,465,3778
1085,775,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,1085,2636,0,465,3778
1085,930,2636,0,465,3778
1085,1085,2636,0,465,3778
1085,1085,2636,0,465,3778
1085,1085,2636,0,465,3778
1085,1085,2636,0,465,3778
1085,1085,2636,0,465,3778
1085,930,2636,0,465,3778
1085,930,2636,0,465,3778
1085,1085,2636,0,465,3778
1085,1085,2636,0,465,3778
1085,1240,2636,0,465,3778
1240,1240,2636,0,465,3778
1240,1240,2636,0,465,3818
1240,1395,2636,0,465,3818
1240,1395,2635,0,465,3818
1240,1395,2635,0,465,3818
1240,1550,2635,0,465,3818
1395,1550,2635,0,465,3818
1395,1550,2635,0,465,3818
1395,1550,2790,0,465,3818
1395,1550,2790,0,465,3818
1395,1550,2790,0,465,3818
1395,1550,2790,0,465,3818
1395,1550,2635,0,465,3818
1395,1550,2635,0,465,3818
1395,1550,2635,0,465,3818
1395,1550,2635,0,465,3818
1395,1550,2635,0,465,3818
1395,1550,2635,0,465,3818
1240,1395,2635,0,465,3818
